date,close,diff,start,high,low,volume,sumPos,sumNeg,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2020-12-18,118500,-1000,118500,119000,117500,3010798,26.43782894300001,30.794496110466667,117833.33333333333,117571.42857142857,112553.33333333333,103206.66666666667,117893.3852378003,116718.37722785921,112569.50107031177,105504.69633417054,100.56577086280056,100.78979343863914,105.28342119291597,114.81816420127898,0.24281984334203657,54.44304010169714,141.87209883097148
2020-12-21,116000,-2500,118000,118000,114500,3585805,32.25968855935001,36.669543181025,117333.33333333333,116928.57142857143,113700.0,104196.66666666667,116946.69261890015,116538.7829208944,112998.3135169127,106182.10854474771,98.86363636363636,99.20586438607208,102.02286719437114,111.32793755398444,0.26582278481012656,36.948984645864314,-192.48067096561408
2020-12-22,112500,-3500,115000,115500,112500,4270842,29.700864516699998,45.762099349940016,115666.66666666667,116357.14285714286,114700.0,105080.0,114723.34630945008,115529.08719067079,112936.02431708087,106589.88104144567,97.26224783861672,96.68508287292818,98.0819529206626,107.06128663875143,0.35000000000000003,17.478287004569935,-678.121575148175
2020-12-23,116000,3500,113000,116000,112500,3173156,77.63931685622,56.41718916516,114833.33333333333,116428.57142857143,115733.33333333333,106063.33333333333,115361.67315472504,115646.8153930031,113319.02133241827,107197.21761078534,101.01596516690856,99.63190184049078,100.23041474654377,109.36861623558252,0.4,21.723484999375877,-784.9083143664047
2020-12-24,118000,2000,116000,118500,115500,3486636,31.277504642720004,28.7386490968,115500.0,116571.42857142857,116333.33333333333,107096.66666666667,116680.83657736253,116235.11154475233,113904.14373935206,107894.42058871263,102.16450216450217,101.22549019607843,101.43266475644698,110.18083351489307,0.4057971014492754,31.977653390278384,-742.5652938305439
2020-12-28,115500,-2500,119000,119500,115000,4825132,35.62968002058334,41.19221408626667,116500.0,116285.71428571429,116600.0,108010.0,116090.41828868126,116051.33365856425,114103.62579385455,108385.26730461942,99.14163090128756,99.32432432432432,99.05660377358491,106.93454309786131,0.4925373134328358,22.216347795437798,-894.430470986942
2020-12-29,116000,500,118000,118500,114000,4208916,44.7306110703,40.82981471793334,116500.0,116071.42857142857,116666.66666666667,108886.66666666667,116045.20914434062,116038.50024392319,114340.67259241609,108876.69414467723,99.57081545064378,99.93846153846154,99.42857142857142,106.53278638339559,0.532258064516129,13.58558864285515,-966.5858531803442
2020-12-30,118500,2500,116000,118500,114500,4195192,23.03043581224,21.37781403178,116666.66666666667,116071.42857142857,116700.0,109570.0,117272.60457217031,116653.87518294239,114860.58856210779,109497.7343680972,101.57142857142856,102.0923076923077,101.54241645244215,108.15004106963583,0.4426229508196722,14.193834553116053,-855.1694898729993
2021-01-04,126000,7500,124500,128000,120500,7995016,33.07875994521112,27.345414220377776,120166.66666666667,117500.0,117433.33333333333,110500.0,121636.30228608515,118990.40638720679,116253.01509435351,110562.68827276482,104.85436893203884,107.23404255319149,107.29491910303719,114.02714932126696,0.4153846153846154,57.95912086784806,-313.51922947980347
2021-01-05,130500,4500,124500,132500,124000,7180224,20.714348036425,20.123031510450005,125000.0,120071.42857142857,118100.0,111583.33333333333,126068.15114304257,121867.8047904051,118033.88832227733,111849.29601886253,104.4,108.68530636525877,110.4995766299746,116.9529499626587,0.28787878787878785,79.34122738474484,278.6756575255222
