date,close,diff,start,high,low,volume,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2021-01-22,42550,-950,44000,44100,42450,975631,43350.0,43207.142857142855,42080.0,39338.333333333336,43100.504675169184,43007.42046730831,41817.24343900672,39742.89474004802,98.15455594002307,98.47908745247149,101.11692015209127,108.16421641316781,0.30434782608695654,56.55689066904033,-3.151597969326758
2021-01-25,42300,-250,42650,43200,41650,1160428,42783.333333333336,43121.42857142857,42363.333333333336,39576.666666666664,42700.25233758459,42830.56534810178,41877.60141336475,39910.37685757841,98.87027658745617,98.09508033791619,99.85049964592021,106.88115893203067,0.3826530612244898,33.405539434067826,-127.30014558654557
2021-01-26,41500,-800,42800,42800,41300,1056251,42116.666666666664,43064.28571428572,42463.333333333336,39688.333333333336,42100.126168792296,42497.92400771976,41830.39206301773,40014.390029153015,98.53581321725366,96.36755680875766,97.73137608917497,104.56473354890186,0.40975609756097564,15.751401009728596,-267.93021898904135
2021-01-27,41150,-350,41600,42300,40850,913589,41650.0,42785.71428571428,42563.333333333336,39771.666666666664,41625.06308439615,42160.94300323954,41745.328591868725,40088.627902835644,98.79951980792316,96.17696160267113,96.6794580624951,103.46561622595651,0.48148148148148145,-0.23769689988394752,-382.3894428228102
2021-01-28,40100,-1050,39950,41300,39650,1022991,40916.666666666664,42157.142857142855,42516.666666666664,39853.333333333336,40862.53154219808,41645.70724950517,41539.631915253514,40089.37069112887,98.0040733197556,95.12029820399866,94.31595452763622,100.61893609902977,0.5863874345549739,-30.017285234474922,-517.9957532948788
2021-01-29,38150,-1950,40200,40450,37850,1303011,39800.0,41321.42857142857,42276.666666666664,39891.666666666664,39506.26577109904,40771.78043340856,41115.872761479055,39962.79865816003,95.85427135678391,92.32497839239412,90.23890246787039,95.63400877376228,0.7330097087378641,-71.71993911719942,-715.7196100929466
2021-02-01,41750,3600,38200,42000,37550,1327909,40000.0,41071.42857142857,42196.666666666664,40050.0,40628.13288554952,41016.33532583722,41195.14769620577,40079.35221286932,104.375,101.65217391304348,98.9414645706612,104.24469413233459,0.5364963503649635,-37.775400607258966,-587.9916667418813
2021-02-02,42050,300,42450,42750,40750,1073207,40650.0,41000.0,42150.0,40248.333333333336,41339.06644277476,41274.751494996715,41302.01488541698,40207.77951093139,103.4440344403444,102.5609756097561,99.76275207591934,104.47637583336784,0.5268817204301075,-4.558640696228762,-471.1939707921915
2021-02-03,43000,950,42800,43200,41900,1216208,42266.666666666664,41100.0,42163.333333333336,40441.666666666664,42169.53322138738,41706.06362202214,41514.28153640474,40389.62985432743,101.73501577287067,104.62287104622871,101.98434658866313,106.32598392746755,0.49662162162162166,16.333027242118014,-324.9845589371073
2021-02-04,40950,-2050,43800,43800,40500,1980674,42000.0,41021.42857142857,42033.333333333336,40571.666666666664,41559.76661069369,41517.047716262015,41443.74096152297,40426.10306298446,97.5,99.82587497823438,97.42268041237114,100.93250626463461,0.5299684542586751,-14.318035997703879,-357.94676460363667
