date,close,diff,start,high,low,volume
2017-10-24,93400,-3800,96900,98200,93400,1526327
2017-10-25,93900,500,94600,95900,92900,1127777
2017-10-26,92700,-1200,94200,94900,92500,1028083
2017-10-27,92800,100,93500,95500,92100,1312328
2017-10-30,94800,2000,93500,95700,92600,1146628
2017-10-31,91000,-3800,95300,96100,90800,2091668
2017-11-01,92300,1300,91100,93400,90600,1413470
2017-11-02,91600,-700,92500,94200,90500,1238258
2017-11-03,92000,400,91800,93000,91000,865372
2017-11-06,93200,1200,91700,94500,91700,1470396
2017-11-07,91300,-1900,92900,93500,91000,1081425
2017-11-08,92400,1100,91000,92500,90700,740499
2017-11-09,96000,3600,92800,97000,92700,2106195
2017-11-10,94400,-1600,96000,96400,93900,1074369
2017-11-13,93000,-1400,94400,95200,92400,877548
2017-11-14,91500,-1500,92500,93000,90300,1235545
2017-11-15,91300,-200,92100,92200,90600,850027
2017-11-16,92200,900,91300,92900,90100,884980
2017-11-17,92600,400,93100,93800,92200,750975
2017-11-20,92200,-400,93000,93700,92200,617288
2017-11-21,92900,700,92300,93000,90900,705381
2017-11-22,95900,3000,92500,96800,92500,1671226
2017-11-23,94100,-1800,96000,96700,94100,745586
2017-11-24,93400,-700,93600,94400,93000,404062
2017-11-27,92200,-1200,93500,94400,92100,663809
2017-11-28,91800,-400,92500,93300,91200,608339
2017-11-29,91400,-400,92500,92800,90600,679015
2017-11-30,90000,-1400,91300,92000,89500,898094
2017-12-01,93500,3500,90600,93900,90500,840847
2017-12-04,94400,900,93600,94400,92500,551331
2017-12-05,94300,-100,93900,94800,93200,458094
2017-12-06,93600,-700,94100,96500,93600,862910
2017-12-07,96200,2600,94500,96500,94000,1287867
2017-12-08,94500,-1700,96000,97200,94200,794868
2017-12-11,96700,2200,95900,96800,94800,786713
2017-12-12,98000,1300,96000,98700,96000,1318613
2017-12-13,97900,-100,98000,98300,96900,723184
2017-12-14,101500,3600,97900,104000,97900,2495201
2017-12-15,105500,4000,103000,106000,102500,1496469
2017-12-18,104000,-1500,106500,106500,103000,716415
2017-12-19,103500,-500,104500,106000,102500,825856
2017-12-20,103000,-500,104000,104500,101500,587992
2017-12-21,99300,-3700,102500,103000,98400,1115976
2017-12-22,100000,700,100500,101500,99400,591818
2017-12-26,99200,-800,101500,102500,99200,934572
2017-12-27,107000,7800,101500,107000,101000,1187463
2017-12-28,106000,-1000,107000,109500,105000,822274
2018-01-02,109500,3500,106500,111000,105500,948226
2018-01-03,109500,0,109500,110500,107500,627983
2018-01-04,106000,-3500,110500,111000,105000,977691
2018-01-05,111000,5000,106000,111500,106000,883832
2018-01-08,105000,-6000,113500,114000,103500,2480029
2018-01-09,109000,4000,105000,110000,105000,1387659
2018-01-10,109000,0,109000,111500,107500,909012
2018-01-11,110500,1500,110000,111000,108500,791790
2018-01-12,109500,-1000,110500,111500,107000,823474
2018-01-15,107000,-2500,109500,110000,106000,695438
2018-01-16,108000,1000,106500,108500,105000,555065
2018-01-17,110500,2500,108500,113000,108000,815085
2018-01-18,107500,-3000,112000,112000,107500,503773
2018-01-19,107500,0,107000,109500,106500,533503
2018-01-22,109000,1500,108500,109000,106500,469543
2018-01-23,109500,500,107500,110000,103500,1166939
2018-01-24,102500,-7000,107500,108500,102000,1406328
2018-01-25,103500,1000,102500,104500,101000,899675
2018-01-26,103000,-500,104500,105500,102500,777285
2018-01-29,102000,-1000,103000,104000,101000,1031365
2018-01-30,101000,-1000,101500,103000,100500,735284
2018-01-31,102500,1500,100500,103000,100000,804156
2018-02-01,103500,1000,103000,104000,101000,860002
2018-02-02,101000,-2500,103000,103500,99900,975164
2018-02-05,97700,-3300,99400,99600,97200,745562
2018-02-06,96100,-1600,94900,96700,93400,1094871
2018-02-07,96500,400,98000,100500,96000,1082264
2018-02-08,99300,2800,97200,99700,97100,813467
2018-02-09,96300,-3000,96500,98200,96200,645790
2018-02-12,96700,400,97300,98300,96400,390757
2018-02-13,99200,2500,97400,101000,96500,782907
2018-02-14,97200,-2000,100000,101000,96900,570366
2018-02-19,102500,5300,99400,103000,98900,893618
2018-02-20,104000,1500,102500,104500,101500,632252
2018-02-21,101000,-3000,103500,104000,100000,895703
2018-02-22,99800,-1200,101500,103000,99200,572286
2018-02-23,102000,2200,100000,102000,99000,502137
2018-02-26,102000,0,103000,103000,100500,480011
2018-02-27,100500,-1500,103000,103500,100500,386397
2018-02-28,99900,-600,100000,102500,99900,508365
2018-03-02,101000,1100,99400,101500,98000,499607
2018-03-05,103500,2500,101500,104500,101500,866063
2018-03-06,106000,2500,105000,106000,102500,813711
2018-03-07,107000,1000,106500,109000,105000,1125599
2018-03-08,107000,0,108500,109000,105500,911403
2018-03-09,109000,2000,109000,110500,108000,830465
2018-03-12,109500,500,110500,111000,108500,573289
2018-03-13,113500,4000,110500,114000,109500,1151725
2018-03-14,113000,-500,112500,114000,111000,754011
2018-03-15,111000,-2000,113500,113500,109000,753489
2018-03-16,110500,-500,111000,111500,109000,639540
2018-03-19,111000,500,110500,112500,110000,302806
2018-03-20,110000,-1000,110000,111000,109000,488409
2018-03-21,112500,2500,109500,112500,109500,575722
2018-03-22,111500,-1000,112500,114500,111000,608489
2018-03-23,106500,-5000,108500,110000,106000,696815
2018-03-26,109000,2500,106500,110500,106500,730771
2018-03-27,111500,2500,111500,113000,111000,904837
2018-03-28,109000,-2500,111000,111000,108500,590380
2018-03-29,109000,0,109500,110000,107500,561254
2018-03-30,109500,500,110500,111000,109500,433535
2018-04-02,110500,1000,110000,112500,110000,340315
2018-04-03,110500,0,109500,112000,109000,377188
2018-04-04,104500,-6000,110500,111000,104500,909945
2018-04-05,105000,500,106000,107500,104500,644490
2018-04-06,111000,6000,105500,111500,105000,1519548
2018-04-09,109500,-1500,111500,112500,108500,727354
2018-04-10,107000,-2500,109000,109000,105500,958899
2018-04-11,107000,0,107500,108000,105500,533827
2018-04-12,106500,-500,106500,108000,105500,861133
2018-04-13,106500,0,108000,108500,106000,517401
2018-04-16,104500,-2000,106500,107000,104000,519056
2018-04-17,105000,500,105000,107000,104000,473722
2018-04-18,104000,-1000,106500,107000,104000,561642
2018-04-19,106000,2000,105000,107000,104500,726517
2018-04-20,109000,3000,105500,111000,105500,1238083
2018-04-23,104500,-4500,110500,111000,103500,1135766
2018-04-24,102000,-2500,105000,105500,101000,868864
2018-04-25,100000,-2000,101500,101500,99100,932572
2018-04-26,101000,1000,101000,103500,99900,835327
2018-04-27,101500,500,103500,104500,101000,721921
2018-04-30,102000,500,102500,103500,102000,575630
2018-05-02,101500,-500,102500,103000,100000,767053
2018-05-03,103000,1500,102000,103000,101000,625844
2018-05-04,99000,-4000,103000,103000,98700,972728
2018-05-08,94900,-4100,100000,101000,94700,1398768
2018-05-09,95300,400,95100,95800,93500,863912
2018-05-10,95200,-100,95000,97500,94700,751327
2018-05-11,97700,2500,95600,98600,95600,758454
2018-05-14,97500,-200,99500,100500,97200,829383
2018-05-15,96600,-900,97100,97500,95200,814411
2018-05-16,96900,300,96300,97500,96100,430070
2018-05-17,98000,1100,97200,98900,97000,602962
2018-05-18,98000,0,98100,98700,97000,473681
2018-05-21,98700,700,98000,98800,96900,556964
2018-05-23,98700,0,98200,99300,98100,615723
2018-05-24,98000,-700,98800,100500,97300,652598
2018-05-25,96700,-1300,97900,98700,96600,523804
2018-05-28,95500,-1200,96500,97600,95300,519213
2018-05-29,96100,600,96200,96700,95500,403665
2018-05-30,96100,0,96200,98300,95800,733711
2018-05-31,92600,-3500,97600,97600,92000,1461934
2018-06-01,88200,-4400,92500,92500,87800,2401034
2018-06-04,89000,800,88600,89700,88300,795419
2018-06-05,90400,1400,89400,90800,89200,736301
2018-06-07,90600,200,91000,91800,89600,706966
2018-06-08,89900,-700,90300,91300,89700,488599
2018-06-11,89000,-900,90100,90300,88600,705279
2018-06-12,90000,1000,89200,91400,89200,602030
