date,close,diff,start,high,low,volume
2021-05-03,12800,-1150,13750,13800,12600,6583366
2021-05-04,12650,-150,12450,12700,11950,5349274
2021-05-06,12500,-150,12500,12800,12300,3587752
2021-05-07,12650,150,12600,12900,12500,2572136
2021-05-10,13100,450,12700,13200,12650,3140979
2021-05-11,13000,-100,12900,13250,12800,2550681
2021-05-12,12600,-400,12950,12950,12500,2424446
2021-05-13,12450,-150,12200,12700,12150,2839769
2021-05-14,12300,-150,12500,12650,12250,1612004
2021-05-17,12500,200,12450,12850,12350,2558009
2021-05-18,12600,100,12500,12700,12450,1422357
2021-05-20,13800,1200,12950,14000,12650,10551893
2021-05-21,13900,100,13900,14050,13300,6255968
2021-05-24,14550,650,14850,15000,14300,14284697
2021-05-25,14700,150,14600,14900,14100,6705477
2021-05-26,16100,1400,14800,16400,14750,25778709
2021-05-27,16800,700,16350,17250,16200,22653777
2021-05-28,17850,1050,16950,18100,16500,22969402
2021-05-31,19900,2050,18500,20200,18050,40307576
2021-06-01,19750,-150,20200,20650,19000,24657258
2021-06-02,22050,2300,19300,24350,19150,65569886
2021-06-03,22750,700,22550,23150,21850,26629543
2021-06-04,25100,2350,22850,25400,22450,48657132
2021-06-07,32000,6900,25950,32000,25900,78938648
2021-06-08,25350,-6650,31900,31900,25350,69302385
2021-06-09,26100,750,24800,27650,23650,49304967
2021-06-10,23400,-2700,25500,26000,23050,26820159
2021-06-11,23750,350,23900,24450,22600,20472749
2021-06-14,23550,-200,23900,23900,22400,15423461
2021-06-15,23600,50,23500,24200,23050,7193835
2021-06-16,24450,850,23250,25900,23000,21641071
2021-06-17,24100,-350,24200,24800,23750,5610972
2021-06-18,25250,1150,24350,25250,23550,9648276
2021-06-21,25800,550,25500,26400,24700,10949824
2021-06-22,26750,950,25850,27250,25650,16187785
2021-06-23,26000,-750,26800,27200,25750,12694560
2021-06-24,24650,-1350,26300,26450,24500,14268629
2021-06-25,24750,100,24500,25250,24100,8665468
2021-06-28,23750,-1000,24600,24900,23700,9564220
2021-06-29,24200,450,23700,24550,23400,8308385
2021-06-30,23850,-350,24150,24200,23500,4892112
2021-07-01,24850,1000,24100,25200,23650,11082685
2021-07-02,24750,-100,25550,25850,24700,8257740
2021-07-05,24950,200,24800,25450,24300,6993495
2021-07-06,26050,1100,25450,26650,25200,20625393
2021-07-07,25350,-700,26050,26400,25200,8883352
2021-07-08,25250,-100,25100,25550,24800,6897281
2021-07-09,26100,850,24850,26250,24500,11473129
2021-07-12,25500,-600,26950,27100,25500,9194495
2021-07-13,25500,0,25500,26300,25450,7125834
2021-07-14,25900,400,25650,26100,25350,5035512
2021-07-15,26050,150,26050,26650,25750,8323605
2021-07-16,25100,-950,26100,26150,25000,7620725
2021-07-19,24800,-300,24600,25250,24100,4477148
2021-07-20,25100,300,24500,25450,24400,8034764
2021-07-21,24400,-700,24250,25000,23600,23143319
2021-07-22,23500,-900,24450,24550,23400,10673373
2021-07-23,23400,-100,23400,23750,23000,5992650
2021-07-26,22800,-600,23500,23650,22600,6706140
2021-07-27,22950,150,22900,23450,22700,5086433
2021-07-28,22550,-400,22850,23100,22300,5029262
2021-07-29,22550,0,23000,23050,22400,3600769
2021-07-30,21750,-800,22400,22500,21550,9395196
2021-08-02,21800,50,21700,22150,21300,4528795
2021-08-03,20700,-1100,21850,21850,20500,9201057
2021-08-04,21650,950,20800,21700,20400,7960032
2021-08-05,21650,0,21850,22150,21250,5088359
2021-08-06,22400,750,21550,22500,21450,6664341
2021-08-09,21450,-950,22400,22400,21400,5408738
2021-08-10,21500,50,21450,21750,21050,4820501
2021-08-11,21350,-150,21300,21850,21250,3164590
2021-08-12,21700,350,21450,22250,21400,7949013
2021-08-13,20800,-900,21800,21850,20500,6231124
2021-08-17,20650,-150,21100,21200,20500,4675178
2021-08-18,20900,250,20400,21150,20150,5178993
2021-08-19,19500,-1400,20700,20750,19500,8919698
2021-08-20,19500,0,19550,20100,19350,6913642
2021-08-23,19800,300,19650,20100,18800,5982070
2021-08-24,20750,950,20150,21000,20000,5868323
2021-08-25,20850,100,20800,21150,20550,4132649
2021-08-26,20100,-750,21000,21050,19900,5131881
2021-08-27,20450,350,19800,20600,19650,3634106
2021-08-30,20400,-50,20750,20850,20350,2821185
2021-08-31,20900,500,20400,20900,20100,4228787
2021-09-01,21900,1000,20900,22750,20650,16710922
2021-09-02,21300,-600,22200,22450,21300,7925997
2021-09-03,21750,450,22150,22550,21450,8654338
2021-09-06,21850,100,21850,22050,21500,3397053
2021-09-07,21900,50,21850,22500,21750,7529699
2021-09-08,21150,-750,21600,21650,21100,4802830
2021-09-09,20900,-250,21050,21250,20650,4119523
2021-09-10,20400,-500,20850,21050,20250,3469590
2021-09-13,20300,-100,20300,20600,20000,3294114
2021-09-14,21000,700,20400,21300,20400,3757880
2021-09-15,21050,50,21050,21700,20950,4251447
2021-09-16,21850,800,21350,22150,21150,7565043
2021-09-17,21650,-200,22100,22400,21500,8208158
2021-09-23,21100,-550,21200,21700,21000,3912892
2021-09-24,20550,-550,21250,21300,20500,4238194
2021-09-27,20650,100,20300,20950,20300,2819616
2021-09-28,21000,350,20800,21100,20650,3636884
2021-09-29,20450,-550,20600,20750,20200,4289388
2021-09-30,20550,100,20400,21100,20300,3692901
2021-10-01,19700,-850,20350,20450,19600,5347469
2021-10-05,19500,-200,19350,20050,19250,4218010
2021-10-06,18150,-1350,19700,19850,18050,8006011
2021-10-07,19000,850,18250,19100,18250,3825082
2021-10-08,19100,100,19200,19450,18900,2904470
2021-10-12,18950,-150,19000,19500,18750,2780973
2021-10-13,21750,2800,19250,22050,19050,21043820
2021-10-14,22450,700,22300,23050,21500,22222278
2021-10-15,23450,1000,22650,24150,22500,25864817
2021-10-18,23100,-350,23950,24150,22800,13269028
2021-10-19,23000,-100,23000,23550,22650,9022295
2021-10-20,21800,-1200,23200,23250,21800,10961988
2021-10-21,23100,1300,22050,23350,21900,15021575
2021-10-22,22600,-500,23250,23500,22550,11669246
2021-10-25,25750,3150,23400,25900,23300,45115134
2021-10-26,26100,350,25450,26350,25050,23624601
2021-10-27,25700,-400,25800,26350,25250,13218675
2021-10-28,24200,-1500,25350,26300,23950,20971502
2021-10-29,24400,200,24500,25000,24100,9490424
2021-11-01,24050,-350,25000,25450,23650,11559754
2021-11-02,25100,1050,24150,25150,23900,10192672
2021-11-03,24600,-500,25800,25900,24250,11955366
2021-11-04,26250,1650,25250,27550,25100,50024043
