date,close,diff,start,high,low,volume
2020-12-01,100500,3000,98600,101500,97800,4455519
2020-12-02,109000,8500,103000,109500,103000,7488361
2020-12-03,111500,2500,110500,114500,109000,6617912
2020-12-04,115000,3500,116000,119500,112500,8258814
2020-12-07,118000,3000,118500,120000,116000,5191354
2020-12-08,115000,-3000,118000,118000,114000,4536460
2020-12-09,120500,5500,116000,121000,115000,5490760
2020-12-10,116500,-4000,117000,118500,115500,8205744
2020-12-11,115500,-1000,118000,118000,115000,3944552
2020-12-14,117000,1500,116000,119000,115500,3066761
2020-12-15,117500,500,118500,118500,115000,2755902
2020-12-16,117500,0,119000,119500,117000,2213552
2020-12-17,119500,2000,118500,119500,117000,3649945
2020-12-18,118500,-1000,118500,119000,117500,3010798
2020-12-21,116000,-2500,118000,118000,114500,3585805
2020-12-22,112500,-3500,115000,115500,112500,4270842
2020-12-23,116000,3500,113000,116000,112500,3173156
2020-12-24,118000,2000,116000,118500,115500,3486636
2020-12-28,115500,-2500,119000,119500,115000,4825132
2020-12-29,116000,500,118000,118500,114000,4208916
2020-12-30,118500,2500,116000,118500,114500,4195192
2021-01-04,126000,7500,124500,128000,120500,7995016
2021-01-05,130500,4500,124500,132500,124000,7180224
2021-01-06,131000,500,132500,137000,130000,8525749
2021-01-07,134500,3500,132500,137500,131500,5981299
2021-01-08,138000,3500,136000,138000,132500,8713010
2021-01-11,133000,-5000,138000,140000,131000,11154671
2021-01-12,129000,-4000,132000,133500,125500,8700877
2021-01-13,133000,4000,129000,133500,128500,6791044
2021-01-14,130500,-2500,132500,133000,129000,5380278
2021-01-15,127500,-3000,133000,135000,127000,4838114
2021-01-18,130000,2500,126000,131000,125000,5927419
2021-01-19,130500,500,131000,132000,128500,4513315
2021-01-20,130500,0,134000,135000,130000,4913282
2021-01-21,131500,1000,131500,133000,130000,3067677
2021-01-22,128500,-3000,131500,132000,128500,3927767
2021-01-25,135000,6500,130000,135000,129500,5061864
2021-01-26,129000,-6000,134000,134000,128500,6270106
2021-01-27,128500,-500,129500,132000,127500,5068456
2021-01-28,123000,-5500,124000,125500,121500,6270829
2021-01-29,122500,-500,128500,128500,121500,7391307
2021-02-01,125000,2500,121000,126000,118000,5620305
2021-02-02,130000,5000,128500,132500,127000,4880067
2021-02-03,130000,0,131000,131500,128500,3693688
2021-02-04,125000,-5000,127500,128500,124000,4600618
2021-02-05,127500,2500,126500,128000,124500,3497303
2021-02-08,125000,-2500,127500,128000,125000,2876471
2021-02-09,125500,500,127500,130000,125000,5177095
2021-02-10,126000,500,125500,127000,124500,4262526
2021-02-15,132000,6000,130000,132500,130000,5384526
2021-02-16,132500,500,132500,134000,130500,3218689
2021-02-17,130000,-2500,131000,131000,128000,3621178
2021-02-18,126000,-4000,128500,130000,125500,3792425
2021-02-19,133000,7000,129000,133000,128500,6986526
2021-02-22,136500,3500,136000,139500,135000,7961516
2021-02-23,138500,2000,133500,140000,131500,6400037
2021-02-24,136000,-2500,137500,143500,134000,9074809
2021-02-25,148500,12500,141000,149500,140000,9936495
2021-02-26,141500,-7000,143500,145000,138000,10843268
2021-03-02,144500,3000,149000,150500,141000,9376523
2021-03-03,147000,2500,142500,147000,139500,5827221
2021-03-04,142000,-5000,143000,145500,139500,6586562
2021-03-05,140000,-2000,138000,141500,136500,6091444
2021-03-08,135500,-4500,143000,143000,135500,5587787
2021-03-09,136500,1000,134000,137500,130500,7822152
2021-03-10,133000,-3500,140500,140500,132500,5614476
2021-03-11,137000,4000,134500,139000,134000,6707671
2021-03-12,140000,3000,140500,142500,139500,4548695
2021-03-15,136500,-3500,141500,142000,136000,4289990
2021-03-16,140500,4000,138500,140500,138000,3304561
2021-03-17,140000,-500,141000,141000,138500,2588319
2021-03-18,142000,2000,142500,145000,141000,4426840
2021-03-19,138000,-4000,138000,139500,137000,4015627
2021-03-22,138000,0,138500,140000,137000,2727719
2021-03-23,135000,-3000,139000,139500,134000,3839090
2021-03-24,133500,-1500,133000,134500,131500,3894080
2021-03-25,133000,-500,133000,134500,130500,4157799
2021-03-26,135000,2000,134000,135000,132000,3835443
2021-03-29,132000,-3000,135500,135500,131500,3575226
2021-03-30,134500,2500,133000,135500,132000,3304184
2021-03-31,132500,-2000,134500,135000,132000,3309680
2021-04-01,140500,8000,138000,140500,136500,5833436
2021-04-02,141000,500,142000,143000,140000,3432245
2021-04-05,143000,2000,142000,144500,141000,2616440
2021-04-06,143000,0,147000,147000,141500,3753217
2021-04-07,143500,500,146000,146000,142500,2424687
2021-04-08,144000,500,143500,146000,142500,3774932
2021-04-09,140000,-4000,144000,145000,139500,3276077
2021-04-12,137500,-2500,140500,140500,136000,3878457
2021-04-13,139500,2000,136000,140000,135500,2876178
2021-04-14,137000,-2500,139000,139000,136500,2777203
2021-04-15,137500,500,136000,139000,136000,2291160
2021-04-16,137500,0,138500,139000,137500,1982877
2021-04-19,138000,500,138000,139000,137000,1906782
2021-04-20,138500,500,136500,138500,136500,2167732
2021-04-21,132500,-6000,138000,138000,132000,5120577
2021-04-22,133000,500,134500,135500,133000,3007457
2021-04-23,132500,-500,130500,132500,128500,4854412
2021-04-26,131500,-1000,132500,132500,130500,2904879
2021-04-27,135000,3500,133000,136000,132500,3394650
2021-04-28,130000,-5000,134500,135000,130000,5596760
2021-04-29,130000,0,132000,133000,129000,3738266
2021-04-30,128000,-2000,130000,130500,126500,3955947
2021-05-03,131500,3500,127500,132500,127000,4085398
2021-05-04,132000,500,130500,132000,129000,2547004
2021-05-06,129000,-3000,130000,130500,128000,4211535
2021-05-07,129500,500,128000,131000,127000,3450323
2021-05-10,130000,500,131000,131000,128500,3067077
2021-05-11,123000,-7000,127000,127500,122000,9882491
2021-05-12,119500,-3500,123000,123500,119000,8272196
2021-05-13,117500,-2000,116000,118500,115500,6042025
2021-05-14,118500,1000,118500,120000,118000,3227201
2021-05-17,117500,-1000,120000,120000,117000,3110127
2021-05-18,121000,3500,117500,122000,117500,3470048
2021-05-20,122500,1500,121000,124000,119500,4600751
