date,close,diff,start,high,low,volume
2021-06-25,42600,1100,42200,42900,41900,1086079
2021-06-28,43800,1200,42950,44200,42650,1349719
2021-06-29,43100,-700,43900,43900,42650,924507
2021-06-30,42900,-200,43250,43500,42750,594872
2021-07-01,42300,-600,43050,43150,42100,747700
2021-07-02,43600,1300,42350,43800,42350,1043036
2021-07-05,43850,250,43900,44000,43500,680139
2021-07-06,43700,-150,44000,44600,43600,808584
2021-07-07,42950,-750,43400,43450,42500,544441
2021-07-08,42150,-800,42950,43400,41950,850648
2021-07-09,42050,-100,41550,42300,41250,742274
2021-07-12,43600,1550,42500,44000,42300,1061529
2021-07-13,44300,700,44050,44400,43900,844350
2021-07-14,44200,-100,43950,44850,43700,657996
2021-07-15,44000,-200,44200,44550,43500,490478
2021-07-16,43900,-100,43700,44250,43550,403574
2021-07-19,43450,-450,43550,43750,43100,475178
2021-07-20,43650,200,43000,44100,42900,606701
2021-07-21,44250,600,44000,45050,43550,919630
2021-07-22,44300,50,44450,44650,44050,580942
2021-07-23,44200,-100,44350,44600,43800,462752
2021-07-26,43600,-600,44450,44750,43600,557922
2021-07-27,44000,400,43650,44500,43650,489402
2021-07-28,44800,800,44000,45400,43850,1221279
2021-07-29,45050,250,45200,45450,44450,866401
2021-07-30,44050,-1000,44950,45050,43900,866785
2021-08-02,43900,-150,44250,44450,43350,491155
2021-08-03,43850,-50,43700,44300,43250,460948
2021-08-04,44050,200,43650,44150,43400,376383
2021-08-05,43700,-350,44000,44150,43650,295712
2021-08-06,43450,-250,43800,43950,43200,343693
2021-08-09,42600,-850,43050,43250,42550,523303
2021-08-10,42050,-550,42600,42750,41850,521260
2021-08-11,42150,100,42150,42700,41900,396758
2021-08-12,42350,200,42200,42900,42200,477966
2021-08-13,41750,-600,42200,42850,41150,527446
2021-08-17,40400,-1350,41900,42000,39950,609886
2021-08-18,40950,550,40050,41150,40000,354696
2021-08-19,39200,-1750,40550,40550,38950,584004
2021-08-20,38500,-700,39300,39650,38350,496456
2021-08-23,38900,400,39100,39650,38300,408149
2021-08-24,40700,1800,39300,40900,39300,520634
2021-08-25,40950,250,40950,41800,40500,458544
2021-08-26,40550,-400,40950,41150,40100,415158
2021-08-27,40900,350,40450,41400,40250,534911
2021-08-30,43700,2800,41400,44200,41400,1809128
2021-08-31,44750,1050,44250,44850,43550,1219827
2021-09-01,44650,-100,44550,44950,44100,543349
2021-09-02,44750,100,44500,44950,44000,536880
2021-09-03,45250,500,45000,45600,44450,704737
2021-09-06,45400,150,45400,46000,44950,689670
2021-09-07,45850,450,45550,46050,45300,500949
2021-09-08,44800,-1050,45750,45800,44600,777007
2021-09-09,44200,-600,44750,45100,44200,665619
2021-09-10,45000,800,44200,45200,43750,551039
2021-09-13,44500,-500,44700,45000,43650,511693
2021-09-14,44750,250,44800,45450,44450,558870
2021-09-15,45000,250,44350,45600,44100,591353
2021-09-16,46100,1100,45800,47350,45800,1342253
2021-09-17,46150,50,46150,46500,45400,747169
2021-09-23,44950,-1200,45350,45450,44450,645554
2021-09-24,44400,-550,45000,45400,43900,548438
2021-09-27,44150,-250,44050,44800,43650,467956
2021-09-28,43250,-900,43900,44000,43050,510776
2021-09-29,42450,-800,42200,43100,41850,579097
2021-09-30,42750,300,42450,43150,42100,356835
2021-10-01,41550,-1200,42500,42500,41100,428832
2021-10-05,41550,0,40850,42050,40600,488570
2021-10-06,40200,-1350,41750,42250,40000,642424
2021-10-07,41750,1550,40700,42000,40400,480224
2021-10-08,40950,-800,42000,42050,40750,453828
2021-10-12,40950,0,40900,41350,40150,406190
2021-10-13,41600,650,40950,41600,40500,351181
2021-10-14,41950,350,41750,42100,41350,614194
2021-10-15,42500,550,42200,42750,41950,348049
2021-10-18,41650,-850,42200,42250,41250,492232
2021-10-19,41650,0,41800,41900,41150,316026
2021-10-20,41150,-500,41700,41850,40750,356196
2021-10-21,41600,450,41200,41900,41100,465647
2021-10-22,41250,-350,41350,41450,40700,352111
2021-10-25,41600,350,40900,41700,40750,242418
2021-10-26,42350,750,41750,42500,41600,429591
