date,close,diff,start,high,low,volume
2010-09-01,86800,1200,86600,88600,86100,438249
2010-09-02,87700,900,87800,88100,86500,390449
2010-09-03,88000,300,88100,88500,86100,268630
2010-09-06,87800,-200,88000,88100,87200,309232
2010-09-07,87800,0,88600,88800,87800,389521
2010-09-08,86500,-1300,88200,88300,86000,291119
2010-09-09,88800,2300,85500,89500,85300,515321
2010-09-10,90900,2100,88800,91900,87800,359780
2010-09-13,90200,-700,92000,92400,88900,211819
2010-09-14,89900,-300,90900,90900,88800,155284
2010-09-15,92000,2100,89100,93000,89000,315552
2010-09-16,92000,0,91900,93800,91700,292481
2010-09-17,92400,400,93900,93900,91800,319816
2010-09-20,92700,300,93200,93700,91700,122915
2010-09-24,94400,1700,93700,95200,93100,271515
2010-09-27,94100,-300,94100,95500,94000,239279
2010-09-28,91000,-3100,93800,94000,90400,548405
2010-09-29,91700,700,91000,92100,90600,311647
2010-09-30,87700,-4000,91000,91300,87100,609848
2010-10-01,87400,-300,87800,89700,86700,367978
2010-10-04,92600,5200,88300,93400,88300,491718
2010-10-05,94200,1600,92700,95100,92200,416105
2010-10-06,95500,1300,92200,95500,92200,336252
2010-10-07,97100,1600,95600,97400,94100,264011
2010-10-08,101000,3900,96900,101000,96000,384618
2010-10-11,103000,2000,101000,105000,100000,414722
2010-10-12,100500,-2500,103000,104000,99500,203418
2010-10-13,101500,1000,100500,103500,98200,190611
2010-10-14,104500,3000,101500,106000,100500,307776
2010-10-15,101500,-3000,103000,103500,99900,337495
2010-10-18,100000,-1500,101000,102500,99400,158890
2010-10-19,98500,-1500,99700,100500,97600,203010
2010-10-20,98900,400,97100,100500,95100,206821
2010-10-21,95400,-3500,98000,98900,95000,310572
2010-10-22,94800,-600,95400,96400,93000,404110
2010-10-25,95200,400,94800,96900,93800,320193
2010-10-26,95800,600,95800,97000,95600,514562
2010-10-27,99500,3700,97900,102000,97400,1100314
2010-10-28,99000,-500,100500,100500,98200,250124
2010-10-29,95500,-3500,99300,99500,95300,401449
2010-11-01,95300,-200,95000,96000,92600,396741
2010-11-02,97000,1700,95300,97900,95000,308063
2010-11-03,102500,5500,97000,104500,97000,863313
2010-11-04,102500,0,102000,104000,100000,389205
2010-11-05,98700,-3800,102500,103500,98100,436476
2010-11-08,98400,-300,98200,99300,96200,179587
2010-11-09,99500,1100,98700,101000,98700,179004
2010-11-10,99600,100,99500,100500,98400,189535
2010-11-11,94900,-4700,100500,101000,94900,456548
2010-11-12,94300,-600,96000,97500,92800,313114
2010-11-15,93000,-1300,93400,94800,92600,196174
2010-11-16,94600,1600,92600,96900,92500,366562
2010-11-17,93400,-1200,94000,96000,91200,382792
2010-11-18,95200,1800,95600,97100,94500,389594
2010-11-19,98800,3600,96000,99100,95400,430873
2010-11-22,99900,1100,99700,102000,99700,414559
2010-11-23,102500,2600,100500,105000,100000,518043
2010-11-24,101500,-1000,100000,105500,99700,468656
2010-11-25,104500,3000,103500,107000,102500,380725
2010-11-26,102000,-2500,104500,106500,99900,346178
2010-11-29,100000,-2000,100000,101000,97200,406931
2010-11-30,100000,0,99200,103500,98200,271063
2010-12-01,105000,5000,101000,106000,100500,452041
